iter	Passed	Remaining
731	25651	9391
732	25696	9360
733	25745	9330
734	25791	9298
735	25835	9267
736	25879	9235
737	25913	9199
738	25979	9175
739	26034	9147
740	26082	9116
741	26122	9082
742	26147	9044
743	26184	9009
744	26222	8975
745	26263	8942
746	26300	8907
747	26339	8873
748	26377	8839
749	26414	8804
750	26449	8769
751	26487	8735
752	26521	8699
753	26532	8656
754	26586	8627
755	26624	8593
756	26660	8557
757	26697	8523
758	26732	8488
759	26766	8452
760	26811	8420
761	26851	8386
762	26890	8352
763	26925	8317
764	26960	8281
765	27000	8248
766	27040	8214
767	27076	8179
768	27096	8139
769	27133	8104
770	27168	8069
771	27204	8034
772	27241	7999
773	27294	7969
774	27360	7943
775	27405	7911
776	27439	7875
777	27479	7841
778	27491	7799
779	27536	7766
780	27573	7731
781	27622	7700
782	27700	7676
783	27762	7648
784	27807	7615
785	27851	7583
786	27890	7548
787	27929	7514
788	27946	7473
789	27991	7440
790	28031	7406
791	28080	7374
792	28102	7335
793	28147	7302
794	28191	7269
795	28235	7236
796	28309	7210
797	28345	7175
798	28381	7139
799	28421	7105
800	28464	7071
801	28516	7040
802	28536	7000
803	28579	6967
804	28617	6932
805	28657	6897
806	28696	6862
807	28718	6824
808	28757	6789
809	28795	6754
810	28833	6719
811	28876	6685
812	28914	6650
813	28926	6609
814	28962	6574
815	28977	6534
816	29016	6499
817	29055	6464
818	29094	6429
819	29129	6394
820	29166	6359
821	29186	6320
822	29250	6290
823	29300	6258
824	29343	6224
825	29383	6189
826	29431	6156
827	29475	6122
828	29520	6089
829	29559	6054
830	29595	6018
831	29610	5979
832	29650	5944
833	29686	5908
834	29723	5873
835	29761	5838
836	29804	5804
837	29843	5769
838	29888	5735
839	29937	5702
840	29990	5670
841	30052	5639
842	30094	5604
843	30136	5570
844	30182	5536
845	30226	5502
846	30283	5470
847	30335	5437
848	30369	5401
849	30415	5367
850	30454	5332
851	30496	5297
852	30532	5261
853	30570	5226
854	30618	5192
855	30655	5156
856	30701	5122
857	30738	5087
858	30796	5055
859	30837	5020
860	30853	4981
861	30868	4941
862	30907	4906
863	30949	4871
864	30997	4837
865	31033	4801
866	31062	4765
867	31102	4729
868	31135	4693
869	31170	4657
870	31195	4620
871	31229	4584
872	31278	4550
873	31317	4514
874	31359	4479
875	31397	4444
876	31434	4408
877	31474	4373
878	31513	4338
879	31556	4303
880	31598	4268
881	31633	4232
882	31672	4196
883	31708	4160
884	31746	4125
885	31783	4089
886	31817	4053
887	31862	4018
888	31903	3983
889	31944	3948
890	31983	3912
891	32022	3877
892	32060	3841
893	32096	3805
894	32120	3768
895	32158	3732
896	32194	3696
897	32230	3660
898	32269	3625
899	32306	3589
900	32341	3553
901	32360	3515
902	32396	3480
903	32430	3443
904	32463	3407
905	32500	3372
906	32537	3336
907	32556	3298
908	32580	3261
909	32616	3225
910	32655	3190
911	32693	3154
912	32739	3119
913	32758	3082
914	32795	3046
915	32838	3011
916	32890	2976
917	32920	2940
918	32959	2905
919	33004	2869
920	33044	2834
921	33090	2799
922	33131	2763
923	33143	2726
924	33181	2690
925	33214	2654
926	33252	2618
927	33287	2582
928	33322	2546
929	33340	2509
930	33379	2473
931	33418	2438
932	33454	2402
933	33491	2366
934	33529	2330
935	33567	2295
936	33605	2259
937	33619	2222
938	33683	2188
939	33727	2152
940	33822	2120
941	33862	2084
942	33894	2048
943	33930	2012
944	33970	1977
945	33991	1940
946	34042	1905
947	34093	1870
948	34137	1834
949	34178	1798
950	34214	1762
951	34234	1726
952	34257	1689
953	34312	1654
954	34351	1618
955	34386	1582
956	34423	1546
957	34464	1510
958	34501	1475
959	34543	1439
960	34582	1403
961	34625	1367
962	34662	1331
963	34699	1295
964	34738	1259
965	34768	1223
966	34805	1187
967	34843	1151
968	34877	1115
969	34913	1079
970	34947	1043
971	34967	1007
972	35000	971
973	35037	935
974	35075	899
975	35148	864
976	35194	828
977	35255	793
978	35328	757
979	35365	721
980	35427	686
981	35464	650
982	35498	613
983	35535	577
984	35578	541
985	35624	505
986	35665	469
987	35710	433
988	35746	397
989	35813	361
990	35863	325
991	35907	289
992	35943	253
993	35983	217
994	36028	181
995	36114	145
996	36149	108
997	36198	72
998	36220	36
999	36254	0
